#,Source,Pair,Volume (24h),Price,Volume (%),%,Updated
170,Huobi,IOST/BTC,"$6,374,670",$10794.50,0.08,%,Recently
171,GetBTC,BTC/EUR,"$6,285,090",$10946.20,0.08,%,Recently
172,Upbit,BCC/BTC,"$6,278,590",$10803.60,0.08,%,Recently
173,Bit-Z,HSR/BTC," $6,255,090",$10747.80,0.08,%,Recently
174,GetBTC,BTC/USD,"$6,251,660",$10888.00,0.08,%,Recently
175,Binance,RPX/BTC,"$6,251,260",$10719.30,0.08,%,Recently
176,Gate.io,BTC/USDT,"$6,161,170",$10759.80,0.07,%,Recently
177,Bitinka,BTC/USD,"$6,133,940",$10755.30,0.07,%,Recently
178,Bitfinex,OMG/BTC,"$6,132,800",$10768.70,0.07,%,Recently
179,Binance,WTC/BTC,"$6,065,700",$10691.00,0.07,%,Recently
180,Binance,LINK/BTC,"$6,052,870",$10784.60,0.07,%,Recently
181,Bibox,BIX/BTC,"$6,012,450",$10702.70,0.07,%,Recently
182,OKEx,QTUM/BTC,"$5,982,990",$11053.50,0.07,%,Recently
183,EXX,EPC/BTC,"$5,882,090",$10599.20,0.07,%,Recently
184,Huobi,ZIL/BTC,"$5,857,550",$10749.20,0.07,%,Recently
185,Upbit,LSK/BTC,"$5,822,870",$10813.10,0.07,%,Recently
186,Kraken,XRP/BTC,"$5,671,750",$10744.20,0.07,%,Recently
187,Binance,QTUM/BTC," $5,602,370",$11083.70,0.07,%,Recently
188,CoinEgg,XRP/BTC,"$5,562,850",$10915.40,0.07,%,Recently
189,Bitstamp,XRP/BTC,"$5,555,470",$10748.10,0.07,%,Recently
190,Upbit,LTC/BTC,"$5,468,310",$10826.80,0.07,%,Recently
191,Huobi,SRN/BTC,"$5,457,660",$10685.50,0.07,%,Recently
192,WEX,LTC/BTC,"$5,442,440",$10773.70,0.07,%,Recently
193,Upbit,XDN/BTC,"$5,406,750",$10698.00,0.07,%,Recently
194,Bit-Z,NKC/BTC,"$5,400,710",$10668.00,0.07,%,Recently
195,Binance,ENJ/BTC,"$5,392,070",$10746.60,0.07,%,Recently
196,Binance,IOTA/BTC,"$5,374,750",$10682.60,0.06,%,Recently
197,CoinEgg,BCH/BTC,"$5,298,920",$10660.40,0.06,%,Recently
198,Upbit,XLM/BTC,"$5,298,610",$11108.80,0.06,%,Recently
199,QuadrigaCX,BTC/CAD,"$5,289,960",$10847.20,0.06,%,Recently
200,Binance,AION/BTC,"$5,266,250",$10726.40,0.06,%,Recently
201,Huobi,LTC/BTC,"$5,200,390",$10784.50,0.06,%,Recently
202,Binance,ADX/BTC,"$5,159,030",$10743.20,0.06,%,Recently
203,OKEx,IOTA/BTC,"$5,153,550",$10890.20,0.06,%,Recently
204,BX Thailand,BTC/THB,"$5,102,420",$11014.10,0.06,%,Recently
205,BTCTurk,BTC/TRY,"$5,089,320",$10718.60,0.06,%,Recently
206,Kraken,XLM/BTC,"$5,027,530",$11062.60,0.06,%,Recently
207,Bitstamp,ETH/BTC,"$5,015,900",$10796.80,0.06,%,Recently
208,Binance,CND/BTC,"$4,993,690",$10814.90,0.06,%,Recently
209,AEX,BTC/BITCNY,"$4,971,060",$11091.10,0.06,%,Recently
210,Foxbit,BTC/BRL,"$4,928,940",$11035.80,0.06,%,Recently
211,YoBit,LSK/BTC,"$4,865,570",$10784.60,0.06,%,Recently
212,Huobi,OMG/BTC,"$4,856,600",$10730.40,0.06,%,Recently
213,xBTCe,BTC/USD,"$4,828,540",$10680.00,0.06,%,Recently
214,HitBTC,BCN/BTC,"$4,723,550",$10741.70,0.06,%,Recently
215,Huobi,EOS/BTC," $4,676,490",$10729.20,0.06,%,Recently
216,CoolCoin,ETH/BTC,"$4,617,830",$9393.65,0.00,%,105 hours ago
217,BtcTrade.im,ETH/BTC,"$4,615,450",$11172.90,0.06,%,Recently
218,Kraken,EOS/BTC,"$4,587,480",$10729.90,0.06,%,Recently
219,CoinEgg,QBT/BTC,"$4,560,180",$11906.60,0.06,%,Recently
220,GDAX,BTC/GBP,"$4,555,320",$10922.90,0.06,%,Recently
221,Bitfinex,NEO/BTC,"$4,541,600",$10722.40,0.05,%,Recently
222,Binance,FUEL/BTC,"$4,537,020",$10638.20,0.05,%,Recently
223,Poloniex,BCH/BTC,"$4,506,250",$10779.90,0.05,%,Recently
224,Bitinka,BTC/EUR,"$4,467,320",$10806.60,0.05,%,Recently
225,OKEx,R/BTC,"$4,362,170",$11040.50,0.05,%,Recently
226,Bit-Z,ZEC/BTC,"$4,331,100",$10786.30,0.05,%,Recently
227,Huobi,DTA/BTC,"$4,298,580",$10770.70,0.05,%,Recently
228,Upbit,ETH/BTC,"$4,284,660",$10814.90,0.05,%,Recently
229,Exmo,ETH/BTC,"$4,277,730 ",$10842.80,0.05,%,Recently
230,YoBit,ETH/BTC,"$4,272,070",$10717.20,0.05,%,Recently
231,Upbit,ETC/BTC,"$4,271,380",$10784.40,0.05,%,Recently
232,WEX,ETH/BTC,"$4,268,480",$10768.00,0.05,%,Recently
233,BtcTrade.im,LTC/BTC,"$4,256,140",$10696.00,0.05,%,Recently
234,Huobi,NEO/BTC,"$4,198,270",$10751.90,0.05,%,Recently
235,Bittrex,ZRX/BTC,"$4,121,410",$10707.30,0.05,%,Recently
236,CoinEgg,ACT/BTC,"$4,105,730",$10497.30,0.05,%,Recently
237,Huobi,VEN/BTC,"$4,094,200",$10813.20,0.05,%,Recently
238,Binance,ELF/BTC,"$4,063,210",$10712.80,0.05,%,Recently
239,Bitfinex,XMR/BTC,"$4,061,480",$10775.80,0.05,%,Recently
240,Bit-Z,INK/BTC,"$4,051,280",$10951.50,0.05,%,Recently
241,LakeBTC,BTC/JPY,"$4,039,790",$11400.60,0.05,%,Recently
242,Bittrex,MONA/BTC,"$3,997,890",$10987.10,0.05,%,Recently
243,Coinfloor,BTC/GBP,"$3,986,540",$10834.70,0.05,%,Recently
244,HitBTC,LTC/BTC,"$3,970,940",$10794.30,0.05,%,Recently
245,Upbit,BTC/USDT,"$3,928,520",$10737.00,0.05,%,Recently
246,Binance,STRAT/BTC,"$3,926,860",$10948.00,0.05,%,Recently
247,Binance,SALT/BTC,"$3,862,360",$10710.40,0.05,%,Recently
248,Bittrex,DGB/BTC,"$3,842,010",$10762.80,0.05,%,Recently
249,Kucoin,ETH/BTC,"$3,830,330",$10769.20,0.05,%,Recently
250,Huobi,THETA/BTC,"$3,812,920",$10628.30,0.05,%,Recently
251,Bit-Z,QTUM/BTC,"$3,799,470",$11083.70,0.05,%,Recently
252,Binance,GXS/BTC,"$3,778,610",$10730.90,0.05,%,Recently
253,Binance,BCPT/BTC,"$3,729,500",$10745.20,0.05,%,Recently
254,WEX,DSH/BTC,"$3,717,460",$10788.90,0.04,%,Recently
255,Bittrex,VTC/BTC,"$3,707,960",$10867.20,0.04,%,Recently
256,Binance,BLZ/BTC,"$3,698,200",$10683.30,0.04,%,Recently
257,Kraken,LTC/BTC,"$3,686,640 ",$10769.10,0.04,%,Recently
258,Coinsquare,BTC/CAD,"$3,678,920",$11023.00,0.04,%,Recently
259,Exmo,BTC/EUR,"$3,675,570",$11097.30,0.04,%,Recently
260,Bit-Z,FCT/BTC,"$3,671,530",$10749.30,0.04,%,Recently
261,Binance,QSP/BTC,"$3,661,520",$10708.30,0.04,%,Recently
262,Bitinka,BTC/ARS,"$3,593,410",$10421.90,0.04,%,Recently
263,AidosMarket,ADK/BTC,"$3,590,700",$10749.10,0.04,%,Recently
264,CoinEgg,LBTC/BTC,"$3,566,720",$8852.91,0.04,%,Recently
265,Binance,AMB/BTC,"$3,526,440",$10825.10,0.04,%,Recently
266,Huobi,QUN/BTC,"$3,518,810",$10723.30,0.04,%,Recently
267,Bittrex,WAVES/BTC,"$3,506,130",$10865.20,0.04,%,Recently
268,Bit-Z,DASH/BTC,"$3,472,310",$10784.20,0.04,%,Recently
269,Bitfinex,DASH/BTC,"$3,465,990",$10773.10,0.04,%,Recently
270,Huobi,NAS/BTC,"$3,463,190",$10782.10,0.04,%,Recently
271,Bitonic,BTC/EUR,"$3,438,180 ",$10748.60,0.04,%,Recently
272,Bittrex,XDN/BTC,"$3,405,550",$10698.00,0.04,%,Recently
273,OKEx,VIB/BTC,"$3,384,420",$10844.60,0.04,%,Recently
